,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
전자/영상/통신장비등,0.010385294423096894,0.03826286588865506,0.01986886548778065,0.03369556060988965,0.0101010101010101,0.08965393580778196,0.03780718336483932,0.054276188260835856,0.025826446280991736,0.039820806371329016,0.018406037180195105,0.03708167238342449,0.4280971518434387,0.6914893617021276,0.39726533628972654,0.37337662337662336
정보통신업,0.022930520522815866,0.1278475127847513,0.07923145488759037,0.011586142973004287,0.022172949002217293,,0.08019246190858059,0.07883672039243168,0.02743735138101335,0.02087246921310791,0.020106564793405047,0.03835458816760955,0.03328063898826858,0.13189935064935066,0.07784697508896797,0.009493971328206589
화학물질/제품,0.12234910277324632,0.03818737270875763,0.05654509471303364,0.11762976032936333,0.18428326971172831,0.10140518615094887,0.21845283988691852,0.17479970866715222,0.06855889208830386,0.0933457794372583,0.04533776635937736,0.13614703880190604,0.582977069568597,1.3960546282245827,0.5956213779781069,0.2316346790205162
금융,0.0606550748079256,0.07262164124909223,0.04597701149425287,,0.027056277056277056,0.03551767004084532,0.02319109461966605,0.01766472354707649,0.02576655501159495,0.021920210434020166,0.20580366330520683,,0.20181634712411706,0.2200778737091586,0.16192458940550544,0.12479942948832234
도매/소매,0.04190236748376283,0.14248397055331277,0.02531004808909137,0.07102272727272728,0.022396416573348267,0.09088843444671665,0.0855614973262032,0.07855459544383347,0.10611205432937182,0.01921598770176787,0.07216742843396681,0.02294630564479119,0.29206919793304875,0.46786505786752036,0.17352503718393653,0.2803738317757009
의료물질/의약품,0.1759014951627089,0.10209290454313426,0.08501594048884166,0.22392237357715994,0.061399918133442484,0.10642826734780758,0.16722408026755853,0.07273608922293612,0.14806588932074774,0.6653225806451613,0.1589825119236884,0.430416068866571,0.0999000999000999,0.10125849848112252,0.06018657839301836,0.05425200054252
전문/과학/기술,0.14534883720930233,0.1753067868770348,0.4179437169127891,0.2949852507374631,,,0.07378258730939498,0.06599571027883187,0.019821605550049554,0.2704164413196322,0.36190907034607556,0.17708517797060386,0.36488027366020526,0.35870864886408926,0.44905978108335676,0.1943364797334814
기타기계/장비,0.058616647127784284,0.05927682276229994,0.3073770491803279,,0.04653327128897162,0.027034333603676672,0.14534883720930233,0.2617801047120419,0.07130124777183601,0.05393743257820927,0.05379236148466917,,0.3245248029670839,0.6632124352331606,0.18814675446848542,0.2551950419248997
식료품,0.9726725335803612,0.8068343616516375,0.387409200968523,0.76103500761035,0.7048872180451128,1.0247349823321554,0.9496284062758051,0.7554671968190855,0.7446808510638299,0.5676442762535477,0.80413555427915,1.8906144496961512,2.5851938895417157,2.831858407079646,1.911764705882353,1.6270337922403004
1차금속,0.0591715976331361,,0.05341880341880342,,,0.24307243558580457,0.09149130832570906,0.4261363636363636,0.1402524544179523,0.06635700066357,0.16233766233766234,0.1791044776119403,1.8129079042784626,3.394907638542187,1.2216404886561953,1.518602885345482
자동차,0.5496828752642706,0.43931905546403077,0.23741690408357075,1.684088269454123,0.2028397565922921,1.0416666666666665,0.1813236627379873,0.5458515283842794,0.2428026361429067,0.4880694143167028,0.6902151847340642,0.9392265193370166,2.0179372197309418,4.487179487179487,2.7338129496402876,1.5139226818058935
운수/창고업,0.04514672686230248,0.04299226139294927,,0.21551724137931033,0.24620434961017645,0.13398838767306834,,0.16659725114535612,0.145985401459854,,0.0723589001447178,,0.6397952655150352,1.5765765765765765,0.9016393442622952,0.7919366450683946
건설업,0.4648460197559558,0.06807351940095302,0.7153075822603719,0.18832391713747645,,0.08176614881439084,,,,,0.06435006435006435,0.234192037470726,0.7380073800738007,2.7306967984934087,0.7276507276507277,0.9473684210526316
조선/기타운수,0.6909547738693468,0.7360672975814931,0.7172743574417215,0.18820577164366373,0.7847533632286996,1.316542644533486,1.2285012285012284,0.45871559633027525,0.08196721311475409,0.18633540372670807,0.12507817385866166,0.1023541453428864,1.1764705882352942,3.6923076923076925,3.7694013303769403,1.8810679611650485
의료/정밀기기,0.5383580080753702,0.25316455696202533,0.24,0.4257907542579075,0.4411764705882353,0.11961722488038277,0.29688273132112813,0.5434782608695652,0.587248322147651,0.8016032064128256,0.538160469667319,0.32167269802975473,1.643835616438356,0.6283380458686774,0.9663865546218487,1.1191047162270185
석유정제/코크스,0.3827751196172249,0.496031746031746,,,0.13054830287206268,0.24479804161566704,,,,0.11273957158962795,,,2.046783625730994,6.087936865839909,2.707581227436823,1.9637462235649545
고무/플라스틱,,0.11086474501108648,,,,0.19801980198019803,0.3929273084479371,0.19342359767891684,0.08375209380234507,,0.0999000999000999,,,1.5439429928741093,0.6299212598425197,0.9533898305084746
기타제조업,0.3778337531486146,0.09578544061302681,0.1620745542949757,0.13908205841446453,,0.6180469715698393,0.591715976331361,0.2518891687657431,,,0.12091898428053204,,1.1828935395814377,1.1754068716094033,1.0230179028132993,0.6639004149377593
전기장비,0.7162041181736795,0.5235602094240838,0.2621231979030144,0.3731343283582089,,0.1303780964797914,0.2971768202080238,0.2860411899313501,0.08291873963515754,,0.09407337723424271,,0.4152249134948097,0.822481151473612,0.3076923076923077,0.6821282401091405
전기/가스/증기,0.7662835249042145,0.1128668171557562,,,,,,,0.3021148036253776,,,0.20491803278688525,1.5873015873015872,1.7241379310344827,1.0869565217391304,
