,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
전자/영상/통신장비등,,,,,2.3434343434343434,6.132329209252286,3.506616257088847,2.054741412731643,1.2482782369146006,1.4634146341463417,1.417264862875023,1.0475572448317418,1.1270312773021143,0.9878419452887538,0.6836659275683666,0.560064935064935
정보통신업,,,,,1.9290465631929048,7.470070248342734,4.039695268644747,2.566573230553609,1.96634351563929,1.5654351909830932,1.2265004523977079,1.236935468405408,1.1648223645894,1.37987012987013,0.9230427046263345,0.5411563657077756
화학물질/제품,,,,,3.9094379360273797,7.141822396059684,4.985864816242612,4.005826656955572,2.989167695050048,1.986931590878784,2.145987607677195,2.0932607215793055,2.118150019432569,2.261001517450683,1.28783000643915,1.158173395102581
금융,,,,,2.002164502164502,4.492985260166933,5.4730983302411875,3.2679738562091507,3.4011852615305336,2.4769837790442786,1.9757151677299856,1.90885230255309,2.4722502522704337,1.7436939224648722,1.179736294240111,0.6418256373685148
도매/소매,,,,,4.300111982082867,11.201999545557829,8.106951871657754,7.305577376276512,6.133276740237691,4.323597232897771,4.859273514553765,5.507113354749885,4.133902493821613,3.1765574981531643,2.131879028259792,1.4953271028037385
의료물질/의약품,,,,,1.882930822758903,7.833120476798637,4.719435154217763,3.6731725057582736,4.2754025541365905,3.2661290322580645,6.889242183359831,4.176630001594134,3.6563436563436564,3.7176334442354984,2.19681011134517,1.5868710158687103
전문/과학/기술,,,,,1.917255297679112,6.337135614702155,7.009345794392523,4.7351922125061865,3.468780971258672,2.6320533621777535,2.7143180275955667,1.6646006729236762,1.9384264538198404,1.434834595456357,1.4594442885209093,0.6385341476957246
기타기계/장비,,,,,1.3727315030246627,5.35279805352798,2.4527616279069764,1.9197207678883073,1.2477718360071302,1.2405609492988134,1.237224314147391,1.0842779694430755,0.9967547519703291,1.4300518134715026,1.011288805268109,0.6015311702515495
식료품,,,,0.050735667174023336,5.169172932330826,10.742049469964664,7.555739058629232,5.88469184890656,6.329787234042553,7.095553453169347,5.973578403216543,3.713706954760297,3.290246768507638,2.566371681415929,1.5441176470588236,1.0638297872340425
1차금속,,,,,4.4110275689223055,6.7087992221682065,4.117108874656908,2.840909090909091,3.155680224403927,1.26078301260783,1.7045454545454544,0.7164179104477612,1.5228426395939088,2.1467798302546184,1.1052937754508436,1.1009870918754745
자동차,,,,,1.9607843137254901,4.495614035087719,3.762466001813237,2.12882096069869,1.9771071800208115,1.2472885032537961,1.7864393016646367,0.9944751381215469,0.7847533632286996,0.6944444444444444,0.7194244604316548,0.7569613409029468
운수/창고업,,,,,4.718916700861715,7.503349709691827,8.475609756097562,5.081216159933361,4.087591240875913,2.9172320217096335,3.256150506512301,3.225806451612903,3.134996801023673,2.4774774774774775,1.3934426229508197,1.9438444924406046
건설업,,,,,0.5305039787798408,6.050695012264922,9.343629343629344,5.872667398463227,3.049203049203049,1.0183299389002036,1.0296010296010296,1.639344262295082,1.3530135301353015,0.847457627118644,0.10395010395010396,0.42105263157894735
예술/스포츠/여가,,,,,5.154091392136025,7.23336853220697,5.9171597633136095,5.835156819839534,3.5631652012956962,5.424063116370808,7.12962962962963,6.627680311890838,5.724381625441696,5.9379926431949555,4.146039603960396,2.44735344336938
조선/기타운수,,,,,2.18609865470852,7.040641099026904,4.668304668304668,2.981651376146789,1.8032786885245904,2.670807453416149,1.188242651657286,1.6376663254861823,1.4379084967320261,1.2307692307692308,0.4988913525498891,1.820388349514563
의료/정밀기기,,,,,1.5196078431372548,7.476076555023924,5.145967342899555,3.985507246376811,3.062080536912752,1.8537074148296595,4.4520547945205475,4.0209087253719344,1.7534246575342465,4.115614200439836,2.3949579831932777,1.2789768185451638
인쇄/기록매체복제,,,,,4.805914972273567,9.298998569384835,3.780821917808219,3.4693877551020407,2.415966386554622,1.5151515151515151,1.334604385128694,1.644479248238058,2.8363636363636364,2.1739130434782608,0.8415147265077139,0.32025620496397117
석유정제/코크스,,,,,4.046997389033943,5.507955936352509,4.13589364844904,4.340277777777778,1.5151515151515151,1.4656144306651635,2.5504782146652496,1.926444833625219,1.9005847953216373,1.0146561443066515,,0.4531722054380665
고무/플라스틱,,,0.17467248908296942,,4.909560723514212,6.534653465346535,6.286836935166994,2.998065764023211,3.350083752093802,3.015484922575387,2.097902097902098,1.477832512315271,1.707317073170732,1.7814726840855106,0.8923884514435696,1.2711864406779663
의복/모피,,,,,4.545454545454546,12.177650429799428,6.735159817351597,6.183574879227053,5.307262569832402,4.53125,4.483695652173913,3.3214709371292996,4.807692307692308,3.0063291139240507,3.4358047016274864,0.9331259720062209
기타제조업,,,,,0.1394700139470014,5.80964153275649,2.2682445759368837,0.6297229219143577,1.1764705882352942,0.6546644844517185,0.48367593712212814,2.203182374541004,1.1828935395814377,0.09041591320072333,1.7050298380221656,0.5809128630705395
전기장비,,,,,0.690846286701209,5.215123859191656,2.3031203566121845,3.1464530892448517,2.2388059701492535,1.7391304347826086,2.06961429915334,1.3888888888888888,1.7301038062283738,1.233721727210418,0.10256410256410256,0.4092769440654843
전기/가스/증기,,,,,3.125,3.7300177619893424,1.1363636363636365,0.6560449859418931,0.906344410876133,1.607142857142857,2.15311004784689,0.6147540983606558,0.31746031746031744,,,
음료,,,,,4.176904176904177,9.734513274336283,9.386973180076629,9.294871794871796,7.029478458049887,6.209850107066381,5.8232931726907635,10.81081081081081,7.668711656441718,2.7559055118110236,2.459016393442623,1.488833746898263
부동산업,,,,,2.73972602739726,4.2341220423412205,2.2900763358778624,1.5151515151515151,0.5747126436781609,1.2195121951219512,1.3592233009708738,0.7215007215007215,0.25510204081632654,0.3115264797507788,0.6745362563237773,0.6153846153846154
사업시설/사업지원/임대업,,,,,,7.317073170731707,18.421052631578945,9.183673469387756,3.349282296650718,4.477611940298507,1.4545454545454546,4.044117647058823,5.376344086021505,2.046783625730994,0.8683068017366137,
가구,,,,,1.0548523206751055,12.337662337662337,8.560311284046692,3.286384976525822,1.8867924528301887,4.239401496259352,1.2658227848101267,,2.18978102189781,2.0,0.53475935828877,0.8849557522123894
숙박업,,,,,2.6881720430107525,3.0534351145038165,4.761904761904762,10.606060606060606,9.375,8.270676691729323,4.054054054054054,6.756756756756757,11.64021164021164,6.6115702479338845,9.090909090909092,3.7037037037037033
교육서비스,,,,,7.6923076923076925,16.071428571428573,15.384615384615385,11.64021164021164,7.936507936507936,3.6036036036036037,4.0,5.952380952380952,4.3478260869565215,8.450704225352112,,0.6944444444444444
기타개인서비스,,,,,,12.631578947368421,14.285714285714285,9.361702127659575,2.7027027027027026,2.6119402985074625,10.0,5.333333333333334,,1.8181818181818181,3.278688524590164,
