M,Employed persons
200601,1.4085396950044355
200602,1.2573018834680454
200603,1.1589044855535349
200604,1.4324359701557654
200605,1.5265823222371893
200606,1.5899137015056795
200607,1.601322605914504
200608,1.8991342827541473
200609,1.7185298568471552
200610,1.6919201738581933
200611,1.6499456061887798
200612,1.8109201837370108
200701,1.6751372953920338
200702,1.6842903671976188
200703,1.677307555979553
200704,1.6436317335776636
200705,1.5593811844317287
200706,1.6981075921650586
200707,1.6587223493028915
200708,1.5944751286006067
200709,1.5710767967988488
200710,1.5622278209959575
200711,1.528458461094175
200712,1.4582990552231223
200801,1.2912431826737105
200802,1.2031328843158349
200803,1.0957418421890566
200804,1.1765004612897485
200805,1.1771410851153803
200806,1.0648126857778237
200807,1.0433558346218064
200808,1.0304687996946882
200809,0.7428732569836285
200810,0.5860796666750332
200811,0.46012590718005697
200812,0.036274869623852624
200901,-0.3893488669559133
200902,-0.5857435821840369
200903,-0.8297147722435199
200904,-0.8265223319976371
200905,-0.993215649566352
200906,-0.10755179032364026
200907,-0.447867033254127
200908,-0.11500766018176023
200909,0.1959424455622667
200910,-0.02661709233220222
200911,-0.14032019653154748
200912,-0.14675329661658054
201001,-0.04511715276059647
201002,0.5137464238364657
201003,1.1367197393443291
201004,1.7149026984622395
201005,2.4728078982597026
201006,1.3491577081711483
201007,2.054877261385556
201008,1.7531547961726375
201009,1.1996247263629698
201010,1.496362055553007
201011,1.5169204596627566
201012,2.242985862780529
201101,1.7282461036340067
201102,2.350807466351938
201103,2.352726454696324
201104,1.9244165795889927
201105,1.8571061151005779
201106,2.362896437881517
201107,1.769416643537042
201108,2.3515030374613417
201109,1.3765852774183998
201110,2.323141241085324
201111,2.213040013800722
201112,2.0450205379565602
201201,2.494997632141434
201202,2.076373933834134
201203,1.87358485871394
201204,1.942189947315967
201205,1.9258517034068205
201206,1.4329907194890836
201207,1.783572840922318
201208,1.3589577020380261
201209,2.6511626016590526
201210,1.4023745433570554
201211,1.1922653443384235
201212,0.8857239964456483
201301,1.093919754242691
201302,0.5631463100627059
201303,0.6928274851420753
201304,1.0543581066250454
201305,0.7074182576040471
201306,1.0782519725321293
201307,1.195927148925449
201308,1.562468899902484
201309,1.7607278889478266
201310,1.9079672445871694
201311,2.4354601085691883
201312,2.480415635020478
201401,3.1449570749181532
201402,3.7241994499186575
201403,2.936182598782338
201404,2.6178713455835094
201405,1.956626995283159
201406,1.918202877109664
201407,2.3328258304680958
201408,2.626112178105288
201409,1.9917280448848942
201410,1.7392888568449365
201411,1.801096319498825
201412,1.7082473532662021
201501,1.3636563234771728
201502,1.4106320969565758
201503,1.1923416789395986
201504,0.6472965172214913
201505,1.2228328514256077
201506,1.0004507567365124
201507,0.9782956119389326
201508,0.7092388190810937
201509,1.0460378740481957
201510,1.0367057066439145
201511,0.797410510281793
201512,1.629321557357244
201601,1.0018943048767426
201602,0.5677111347548163
201603,0.8301605598053357
201604,0.6557514950369381
201605,0.6889689301874995
201606,1.0518114530580647
201607,0.8557701365991477
201608,1.2412443541016387
201609,0.7905645703240083
201610,0.8556226361020549
201611,1.105049604448908
201612,0.9548697591367841
201701,0.904613920916475
201702,1.4210257150999723
201703,1.7802155504234065
201704,1.5935604204416336
201705,1.4241213847419942
201706,1.1291928348466769
201707,1.1724441986803669
201708,0.7802667066227258
201709,1.1757963501243722
201710,1.049518425460633
201711,0.9588257933853725
201712,0.9743044748927758
201801,1.2914294988465258
201802,0.39839410607676484
201803,0.42356055592323116
201804,0.4614084549173185
201805,0.26600572764421315
201806,0.3937838407988039
201807,0.01846490191444161
201808,0.009292194927951414
201809,0.1651197488402545
201810,0.23569634023155572
201811,0.6118030238540229
201812,0.12930532219202462
201901,0.07286599904625746
201902,1.0075605379790602
201903,0.9422131842060679
201904,0.6353377302029202
201905,0.955892948857695
201906,1.0370009916575356
201907,1.105474201909658
201908,1.6783861328734702
201909,1.2877329026105997
201910,1.5463270579549686
201911,1.2172691088074572
201912,1.935573483093762
202001,2.165708534744354
202002,1.868243653589218
202003,-0.7289766346946607
202004,-1.7612054012271443
202005,-1.4354522296723644
202006,-1.2857747486098674
202007,-1.0108535284923335
202008,-1.0004240014035872
202009,-1.4304637694909843
202010,-1.5285961997753503
202011,-0.99365066673451
202012,-2.313128597576025
202101,-3.66272756784592
202102,-1.7631847617912086
202103,1.1785353241159982
202104,2.452742817774194
202105,2.30002005183772
202106,2.151157633283063
202107,2.001032981627688
202108,1.9125188759705765
202109,2.484108738065345
202110,2.4080418186382246
202111,2.031107179172807
202112,2.913411949211337
202201,4.394204066139636
202202,3.9329252103199224
202203,3.086963142900643
202204,3.177087926624921
202205,3.3935156953277072
202206,3.043723676783472
202207,2.98823801738979
202208,2.924713886684998
202209,2.5521354492155695
202210,2.44081800387157
202211,2.2533153921984876
202212,1.8660434311168217
