M,Monthly Service Industry Survey - Wholesale and retail trade
200601,4.92227979274611
200602,1.356852103120758
200603,4.054054054054063
200604,4.15094339622641
200605,4.438964241676956
200606,3.889585947302379
200607,1.300390117035107
200608,3.4165571616294557
200609,6.6914498141264005
200610,2.5766871165644005
200611,4.216867469879531
200612,4.1474654377880285
200701,3.7037037037036953
200702,9.103078982597054
200703,4.368358913813466
200704,4.468599033816417
200705,5.548996458087373
200706,4.951690821256037
200707,7.830551989730424
200708,5.717916137229977
200709,3.7166085946573872
200710,10.645933014354085
200711,5.895953757225428
200712,3.761061946902643
200801,5.952380952380949
200802,2.0858895705521547
200803,3.9592760180995583
200804,4.855491329479776
200805,2.572706935123037
200806,1.726121979286546
200807,6.19047619047619
200808,3.846153846153854
200809,0.0
200810,-2.7027027027026946
200811,-6.222707423580772
200812,-5.1172707889125775
200901,-4.831460674157299
200902,-4.206730769230774
200903,-5.005440696409153
200904,-4.4101433296582115
200905,-3.7077426390403616
200906,1.5837104072398063
200907,-1.569506726457405
200908,-1.0416666666666714
200909,3.6954087346024522
200910,2.0
200911,5.355064027939463
200912,8.98876404494382
201001,4.95867768595042
201002,8.03011292346298
201003,7.560137457044689
201004,6.805074971164942
201005,6.455266138165342
201006,4.788418708240542
201007,6.49202733485194
201008,5.73099415204679
201009,2.483801295896342
201010,4.575163398692823
201011,6.850828729281773
201012,3.402061855670098
201101,8.661417322834637
201102,-0.2322880371660716
201103,4.472843450479218
201104,4.211663066954642
201105,5.319148936170208
201106,4.675876726886301
201107,2.8877005347593467
201108,4.75663716814158
201109,2.9504741833508774
201110,3.229166666666657
201111,2.3784901758014456
201112,2.293120638085739
201201,1.242236024844729
201202,5.005820721769496
201203,0.20387359836901453
201204,-0.6217616580310903
201205,1.414141414141426
201206,-0.3045685279187751
201207,1.6632016632016615
201208,-1.055966209081305
201209,1.2282497441146347
201210,-0.3027245206861693
201211,2.1212121212121247
201212,-0.4873294346978554
201301,-2.249488752556232
201302,0.4434589800443405
201303,1.5259409969481226
201304,1.7726798748696382
201305,-0.19920318725100117
201306,-0.20366598778004175
201307,-0.6134969325153321
201308,0.533617929562439
201309,-1.4155712841253774
201310,2.0242914979757103
201311,0.1978239366963379
201312,-0.8814887365328019
201401,2.719665271966548
201402,-0.6622516556291345
201403,0.10020040080161152
201404,-0.3073770491803174
201405,0.39920159680637823
201406,0.8163265306122298
201407,0.308641975308646
201408,0.743099787685793
201409,0.512820512820511
201410,-1.0912698412698347
201411,-1.7769002961500462
201412,2.569169960474298
201501,-2.5458248472505147
201502,2.7777777777777715
201503,2.3023023023023086
201504,4.6248715313463435
201505,0.19880715705767216
201506,-0.9109311740890575
201507,0.2051282051282186
201508,0.31612223393044303
201509,3.367346938775512
201510,6.2186559679037146
201511,3.7185929648241256
201512,1.9267822736030809
201601,3.030303030303031
201602,0.6486486486486456
201603,3.522504892367891
201604,2.554027504911602
201605,3.5714285714285836
201606,5.209397344228805
201607,2.5588536335721557
201608,4.621848739495789
201609,-0.09871668311943438
201610,0.9442870632672395
201611,2.1317829457364326
201612,1.8903591682419574
201701,1.0141987829614436
201702,0.0
201703,-0.09451795841208366
201704,0.19157088122602772
201705,-0.3831417624521123
201706,0.19417475728155864
201707,0.8982035928143546
201708,-0.502008032128515
201709,6.818181818181813
201710,-4.396632366697844
201711,2.846299810246691
201712,1.669758812615953
201801,2.3092369477911774
201802,3.4371643394199793
201803,3.784295175023658
201804,1.7208413001912106
201805,2.692307692307679
201806,1.8410852713178087
201807,2.176063303659731
201808,2.32088799192735
201809,-4.625346901017579
201810,5.479452054794521
201811,0.5535055350553506
201812,0.0
201901,3.2384690873405333
201902,-3.946002076843186
201903,-1.6408386508659873
201904,-0.845864661654133
201905,1.2172284644194775
201906,-1.2369172216936164
201907,-0.5808325266214922
201908,1.2820512820512704
201909,-0.29097963142579886
201910,-1.855287569573278
201911,-0.2752293577981675
201912,0.09124087591241903
202001,-1.9011406844106489
202002,-0.10810810810811233
202003,-6.394810009267843
202004,-7.29857819905213
202005,-4.532839962997215
202006,-0.0963391136801448
202007,-2.1421616358325224
202008,-5.842259006815965
202009,3.1128404669260874
202010,-1.7013232514177616
202011,-2.483900643974252
202012,-1.1850501367365496
202101,-2.034883720930239
202102,3.030303030303031
202103,8.316831683168317
202104,9.30470347648263
202105,3.197674418604663
202106,3.4715525554483975
202107,5.373134328358219
202108,5.274043433298843
202109,0.28301886792452535
202110,4.32692307692308
202111,4.0566037735848965
202112,4.151291512915137
202201,4.451038575667667
202202,1.7857142857142776
202203,2.742230347349178
202204,2.619270346117858
202205,4.788732394366193
202206,0.5591798695246979
202207,0.9442870632672395
202208,6.4833005893909785
202209,2.822201317027279
202210,2.7649769585253523
202211,0.5439709882139709
202212,0.8857395925598013
