M,Unemployment rate
200601,-11.627906976744185
200602,-4.651162790697683
200603,-4.878048780487802
200604,-7.89473684210526
200605,-11.1111111111111
200606,-5.555555555555557
200607,-8.108108108108112
200608,-5.555555555555557
200609,-11.1111111111111
200610,-8.333333333333343
200611,-3.030303030303017
200612,-5.714285714285722
200701,-5.263157894736835
200702,-9.75609756097559
200703,-10.256410256410248
200704,-2.857142857142861
200705,0.0
200706,-5.882352941176464
200707,-2.941176470588232
200708,-8.823529411764696
200709,-6.25
200710,-9.09090909090908
200711,-6.25
200712,-6.060606060606062
200801,-8.333333333333343
200802,-5.4054054054054035
200803,-2.857142857142861
200804,-5.882352941176464
200805,-3.125
200806,-3.125
200807,-6.060606060606062
200808,0.0
200809,0.0
200810,0.0
200811,0.0
200812,6.451612903225794
200901,9.090909090909108
200902,11.42857142857143
200903,17.64705882352942
200904,18.74999999999997
200905,22.580645161290306
200906,22.580645161290306
200907,19.354838709677423
200908,19.354838709677423
200909,9.999999999999986
200910,6.666666666666671
200911,9.999999999999986
200912,6.060606060606062
201001,38.888888888888886
201002,23.07692307692308
201003,2.499999999999986
201004,-2.6315789473684106
201005,-15.78947368421052
201006,-7.89473684210526
201007,0.0
201008,-10.810810810810821
201009,3.030303030303031
201010,3.1249999999999716
201011,-9.09090909090908
201012,0.0
201101,-24.0
201102,-6.25
201103,4.878048780487802
201104,0.0
201105,0.0
201106,-5.714285714285722
201107,-10.810810810810821
201108,-9.09090909090908
201109,-11.764705882352942
201110,-12.121212121212125
201111,-3.3333333333333286
201112,-14.285714285714292
201201,-7.89473684210526
201202,-6.666666666666671
201203,-13.95348837209302
201204,-5.4054054054054035
201205,-3.125
201206,-3.030303030303017
201207,-6.060606060606062
201208,0.0
201209,-3.3333333333333286
201210,-3.448275862068968
201211,-3.448275862068968
201212,-3.3333333333333286
201301,-2.857142857142861
201302,-7.142857142857153
201303,-5.4054054054054035
201304,-8.57142857142857
201305,-3.225806451612911
201306,-3.125
201307,0.0
201308,0.0
201309,-6.896551724137922
201310,-3.571428571428555
201311,-7.142857142857125
201312,3.448275862068968
201401,0.0
201402,15.384615384615401
201403,11.42857142857143
201404,18.74999999999997
201405,16.66666666666667
201406,12.903225806451601
201407,9.677419354838705
201408,9.999999999999986
201409,14.81481481481481
201410,18.518518518518505
201411,15.384615384615373
201412,9.999999999999986
201501,8.823529411764724
201502,0.0
201503,2.5641025641025834
201504,2.631578947368425
201505,5.714285714285722
201506,8.57142857142857
201507,5.882352941176478
201508,3.030303030303031
201509,3.225806451612897
201510,-3.125
201511,0.0
201512,-3.030303030303017
201601,0.0
201602,8.8888888888889
201603,5.0
201604,0.0
201605,-2.702702702702709
201606,-5.263157894736835
201607,-2.7777777777777857
201608,5.882352941176478
201609,9.375
201610,6.451612903225794
201611,3.333333333333343
201612,0.0
201701,0.0
201702,0.0
201703,-2.380952380952394
201704,7.692307692307708
201705,0.0
201706,5.555555555555557
201707,-2.857142857142861
201708,0.0
201709,-5.714285714285722
201710,-3.030303030303017
201711,0.0
201712,3.1249999999999716
201801,0.0
201802,-6.1224489795918515
201803,9.756097560975618
201804,-2.380952380952394
201805,11.111111111111114
201806,-2.6315789473684106
201807,8.823529411764724
201808,11.111111111111114
201809,9.090909090909108
201810,9.375
201811,3.225806451612897
201812,3.030303030303031
201901,21.621621621621628
201902,2.173913043478265
201903,-4.444444444444457
201904,7.317073170731732
201905,0.0
201906,8.108108108108098
201907,5.405405405405389
201908,-25.0
201909,-13.888888888888886
201910,-14.285714285714292
201911,-3.125
201912,0.0
202001,-8.8888888888889
202002,-12.765957446808514
202003,-2.3255813953488342
202004,-4.545454545454547
202005,12.5
202006,7.5
202007,2.5641025641025834
202008,3.333333333333343
202009,16.129032258064527
202010,23.333333333333343
202011,9.677419354838705
202012,20.588235294117638
202101,39.024390243902445
202102,19.512195121951237
202103,2.3809523809523796
202104,-4.761904761904773
202105,-11.111111111111114
202106,-11.627906976744185
202107,-20.0
202108,-16.129032258064512
202109,-25.0
202110,-24.324324324324337
202111,-23.52941176470587
202112,-14.634146341463406
202201,-28.070175438596507
202202,-30.6122448979592
202203,-30.232558139534888
202204,-25.0
202205,-25.0
202206,-21.05263157894737
202207,-9.375000000000014
202208,-19.230769230769226
202209,-11.111111111111114
202210,-14.285714285714278
202211,-11.538461538461547
202212,-14.285714285714292
