M,Budget Balance
200601,-8692.0
200602,339.0
200603,-7683.0
200604,-8887.0
200605,-5685.0
200606,-849.0
200607,-6754.0
200608,-5349.0
200609,5184.0
200610,-9370.0
200611,-8564.0
200612,-5989.0
200701,-14698.0
200702,-9281.0
200703,-1629.0
200704,-15808.0
200705,-14707.0
200706,-10821.0
200707,-24984.0
200708,-30151.0
200709,-23646.0
200710,-41716.0
200711,-42915.0
200712,-37049.0
200801,-16623.0
200802,-8846.0
200803,-21791.0
200804,-24730.0
200805,-19955.0
200806,-24321.0
200807,-32706.0
200808,-22074.0
200809,-26276.0
200810,-29891.0
200811,-20104.0
200812,-15831.0
200901,8527.0
200902,19346.0
200903,11245.0
200904,8165.0
200905,18995.0
200906,25812.0
200907,16981.0
200908,14201.0
200909,22405.0
200910,13310.0
200911,10074.0
200912,17620.0
201001,-2308.0
201002,9462.0
201003,7020.0
201004,-728.0
201005,337.0
201006,11402.0
201007,2146.0
201008,-6241.0
201009,-7014.0
201010,-15523.0
201011,-21802.0
201012,-16692.0
201101,-4668.0
201102,1316.0
201103,4895.0
201104,-5848.0
201105,-8260.0
201106,2525.0
201107,-9565.0
201108,-14925.0
201109,-16513.0
201110,-29210.0
201111,-26987.0
201112,-18629.0
201201,-10353.0
201202,3936.0
201203,12275.0
201204,-3825.0
201205,-708.0
201206,11557.0
201207,-2632.0
201208,-4873.0
201209,-3858.0
201210,-23120.0
201211,-26646.0
201212,-18479.0
201301,-5164.0
201302,9317.0
201303,14776.0
201304,10244.0
201305,14319.0
201306,28619.0
201307,11821.0
201308,7105.0
201309,2102.0
201310,-14395.0
201311,-16894.0
201312,-14200.0
201401,-4112.0
201402,8247.0
201403,15373.0
201404,3873.0
201405,7795.0
201406,24285.0
201407,9061.0
201408,10027.0
201409,6467.0
201410,-5386.0
201411,-3288.0
201412,-8501.0
201501,-5829.0
201502,9106.0
201503,16206.0
201504,9028.0
201505,9665.0
201506,23896.0
201507,9082.0
201508,9895.0
201509,18488.0
201510,1476.0
201511,-4115.0
201512,165.0
201601,-9353.0
201602,2121.0
201603,14127.0
201604,-4220.0
201605,-4453.0
201606,8063.0
201607,-8052.0
201608,-15757.0
201609,-8186.0
201610,-17254.0
201611,-21010.0
201612,-16910.0
201701,-14851.0
201702,-4008.0
201703,3918.0
201704,-9070.0
201705,-11291.0
201706,2162.0
201707,-16089.0
201708,-17381.0
201709,-12656.0
201710,-27225.0
201711,-29177.0
201712,-24029.0
201801,-15048.0
201802,-877.0
201803,1766.0
201804,-244.0
201805,-8670.0
201806,3520.0
201807,-9220.0
201808,-15993.0
201809,-14031.0
201810,-28653.0
201811,-37409.0
201812,-31163.0
201901,-6893.0
201902,11804.0
201903,17321.0
201904,25893.0
201905,19104.0
201906,38492.0
201907,24289.0
201908,22340.0
201909,26547.0
201910,11394.0
201911,7906.0
201912,11997.0
202001,-306.0
202002,26249.0
202003,45292.0
202004,43345.0
202005,61279.0
202006,89971.0
202007,75607.0
202008,70888.0
202009,80461.0
202010,58956.0
202011,63264.0
202012,71153.0
202101,-3442.0
202102,12694.0
202103,30104.0
202104,16347.0
202105,20477.0
202106,47188.0
202107,20709.0
202108,29802.0
202109,29648.0
202110,19317.0
202111,22366.0
202112,30494.0
202201,-8993.0
202202,15069.0
202203,33145.0
202204,21317.0
202205,48889.0
202206,75011.0
202207,56339.0
202208,50639.0
202209,52719.0
202210,43058.0
202211,50848.0
