,KOSPI
200601,52.689433774284595
200602,39.113304578633034
200603,34.7581028707892
200604,48.20024910771292
200605,47.90836865534942
200606,26.010248754211474
200607,20.71294311001124
200608,19.443839395919554
200609,15.841744803675411
200610,13.702702248794992
200611,12.022245982477699
200612,5.976949679192714
200701,-0.005074964475255683
200702,6.944071788450643
200703,7.501576908058752
200704,7.147296457426961
200705,16.280610297876635
200706,40.43340084374674
200707,49.57433489827855
200708,37.91106923591272
200709,38.517393644077146
200710,48.04215532775987
200711,37.10370175151181
200712,34.19437141870415
200801,25.596519847743338
200802,17.746308079364965
200803,15.334376440675612
200804,17.102140898544604
200805,14.354093650538104
200806,0.2217433933009687
200807,-17.889053966393945
200808,-15.287434849202768
200809,-23.01559847368057
200810,-40.051383103439676
200811,-44.20575216641382
200812,-41.444020189181664
200901,-33.246165480375694
200902,-32.540410646747915
200903,-30.929957908124635
200904,-25.581735694424125
200905,-24.16407201841072
200906,-20.642486221468914
200907,-6.98075942915392
200908,2.6249552860069656
200909,14.716983740736651
200910,35.691936423400165
200911,47.443549513478274
200912,47.693963584177936
201001,45.46901078374569
201002,40.29041456459751
201003,46.03884431584021
201004,30.874366538083365
201005,17.693680828275603
201006,21.265158682377233
201007,18.567426696711692
201008,11.678105848876058
201009,9.418783331826802
201010,15.889145779800202
201011,21.550139882662762
201012,21.611281154350664
201101,24.34072858705474
201102,25.26079451643568
201103,20.244371059741823
201104,24.43752203387872
201105,28.73081356549173
201106,22.61900540208282
201107,24.200517583991868
201108,6.0850764394102725
201109,-1.3658267933360833
201110,-3.3772556490448125
201111,-3.4244119893386653
201112,-6.954806491885151
201201,-9.590698074688888
201202,0.017974207012954935
201203,1.0356174507033131
201204,-7.3014634508831335
201205,-11.099643239218238
201206,-10.895384259437776
201207,-15.037254774285373
201208,2.647894255406797
201209,9.511153298528711
201210,6.370079085153463
201211,2.469335054874122
201212,5.936465170698185
201301,5.028529727500114
201302,-1.167115109098816
201303,-1.6393118547402707
201304,-2.857829973145215
201305,4.670395207676208
201306,1.9371416206859493
201307,2.4644861092103554
201308,-1.1438785560552702
201309,1.1777962463480804
201310,4.504708602145001
201311,5.5242295374599735
201312,0.734102054877809
201401,-1.9072554252051646
201402,-2.1274338965072985
201403,-1.8997708819036774
201404,2.6979493315728575
201405,0.9967332674922176
201406,5.872925743336111
201407,8.02342168108261
201408,8.64383012820511
201409,2.9389384143238004
201410,-4.280477710772146
201411,-2.5010945709282026
201412,-2.333616653171248
201501,-1.3976860929463868
201502,1.2008897008355177
201503,3.082824992445296
201504,5.8296797392513895
201505,6.05627516761696
201506,3.438959841209382
201507,1.7844160340265773
201508,-5.258790934189889
201509,-5.048685324887046
201510,4.002985381923011
201511,2.405021304824828
201512,1.524256796073999
201601,-1.3711679915043788
201602,-3.0795512493625807
201603,-1.7946755969830264
201604,-5.272224252231567
201605,-7.008369190032624
201606,-4.199274115782899
201607,-2.6991831994674556
201608,4.307700186935051
201609,5.309396879736866
201610,0.7651306314554915
201611,-1.2472717487716665
201612,2.5432024874082657
201701,8.818515293062035
201702,9.585869799695914
201703,8.078421452061718
201704,8.216234088279052
201705,17.04446071552057
201706,19.98806290243445
201707,20.495585474012216
201708,16.47403101155814
201709,16.120946263512465
201710,21.946631434703818
201711,27.842058786426165
201712,22.06393724000455
201801,22.273042541942928
201802,17.106779335509884
201803,14.764742506448457
201804,13.79699839828163
201805,6.92517887475077
201806,0.9404771941657657
201807,-5.3317584649177405
201808,-3.72568692089132
201809,-2.7198293308149033
201810,-13.266502072198705
201811,-17.76902400227354
201812,-16.111973352027974
201901,-16.619197600894907
201902,-9.384609077118611
201903,-11.815285714868438
201904,-10.011308995940155
201905,-15.211473611506122
201906,-12.07804519505035
201907,-8.964430338185409
201908,-14.868202119274898
201909,-11.36031690308711
201910,-4.073871129520583
201911,2.1820834913336
201912,3.713776429499589
202001,4.826877515485407
202002,-1.949144873767068
202003,-17.353173813896035
202004,-16.38835144567203
202005,-5.833053811874066
202006,1.3964755616776614
202007,5.600919460634387
202008,20.8631650413529
202009,15.954840823191745
202010,14.138690548227046
202011,17.63396107648005
202012,28.353850238238294
202101,40.20213847438549
202102,42.69675883199824
202103,69.71988246816844
202104,71.12333003530514
202105,61.268490766702115
202106,52.674380475008206
202107,48.20783715476219
202108,35.43302395451664
202109,32.47621778437457
202110,26.80654163591791
202111,18.374078540680003
202112,8.444826672762957
202201,-7.241840305314838
202202,-11.912715325587484
202203,-11.005879695429797
202204,-14.591732278489005
202205,-17.066136564432654
202206,-24.0612554232098
202207,-27.40085479802248
202208,-22.08735271013353
202209,-25.71123913804628
202210,-25.40578687367679
202211,-18.444152076375545
202212,-20.987522126558886
